Satelit,Latitude,Longitude,Kedalaman,Temperature
11,-7.821082,110.121093,11.9,29.6
11,-7.821095,110.121093,12,29.5
11,-7.821108,110.121101,12.1,29.6
11,-7.821122,110.121101,12.9,29.7
11,-7.821133,110.121101,13.1,29.7
11,-7.821146,110.121101,13,29.6
10,-7.821158,110.121101,13.7,29.7
11,-7.82117,110.121101,13.7,29.6
11,-7.821182,110.121101,13.6,29.6
11,-7.821193,110.121101,13.8,29.6
11,-7.821205,110.121101,13.9,29.5
11,-7.821217,110.121101,14.1,29.6
11,-7.821228,110.121101,14.4,29.7
10,-7.82124,110.121101,14.2,29.7
10,-7.821252,110.121101,14.4,29.7
11,-7.821263,110.121101,14.5,29.8
11,-7.821275,110.121101,14.9,29.5
11,-7.821287,110.121101,14.8,29.7
11,-7.821298,110.121109,14.7,29.6
11,-7.82131,110.121109,14.7,29.6
11,-7.821321,110.121116,14.9,29.6

10,-7.822195,110.12104,21.0,30.9

10,-7.822206,110.12104,21.0,30.8

10,-7.822218,110.12104,21.0,30.8

10,-7.82223,110.12104,21.0,30.7

10,-7.822242,110.12104,21.1,30.9

10,-7.822253,110.121032,21.1,30.9

10,-7.822265,110.121032,21.1,30.9

10,-7.822278,110.121032,21.0,30.8

10,-7.82229,110.121032,21.0,30.9

10,-7.822302,110.121032,21.0,30.9

9,-7.822313,110.121032,21.1,30.9

9,-7.822323,110.121032,21.1,30.9

9,-7.822335,110.121032,21.1,30.9

9,-7.822349,110.121032,21.1,30.8

9,-7.82236,110.121032,21.2,30.9

9,-7.822371,110.121032,21.2,30.8

10,-7.822383,110.121032,21.2,30.9

10,-7.822395,110.121032,21.2,30.9

10,-7.822407,110.121032,21.3,30.9

10,-7.822418,110.121032,21.3,30.8

10,-7.82243,110.121025,21.4,30.9

10,-7.822442,110.121025,21.6,30.8

10,-7.822453,110.121025,21.7,30.8

10,-7.822465,110.121025,21.9,30.9

10,-7.822477,110.121025,23.0,30.8

10,-7.822487,110.121025,24.2,30.9

10,-7.822498,110.121025,24.2,30.8

10,-7.822508,110.121017,24.3,30.9

10,-7.822518,110.121017,24.5,30.8

10,-7.82253,110.121017,25.0,30.9

10,-7.82254,110.121017,25.5,30.9

10,-7.82255,110.121017,27.7,30.8

10,-7.82256,110.121017,27.6,30.9

10,-7.82257,110.121017,26.9,31.0

10,-7.822582,110.121017,27.5,30.9

10,-7.822592,110.121017,27.2,30.8

10,-7.822602,110.121009,27.4,30.8

10,-7.822612,110.121009,27.6,30.9

10,-7.822622,110.121009,29.1,30.9

10,-7.822632,110.121009,29.4,30.9

10,-7.822643,110.121009,29.2,30.9

10,-7.822653,110.121009,29.3,30.8

10,-7.822665,110.121009,29.2,30.9

10,-7.822677,110.121009,30.8,30.8

10,-7.82269,110.121009,30.8,30.8

10,-7.822701,110.121009,30.7,30.9

10,-7.822713,110.121017,31.1,30.8

10,-7.822723,110.121017,30.6,30.8

10,-7.822733,110.121009,30.5,30.9

10,-7.822743,110.121009,31.0,30.9

8,-7.822755,110.121009,31.2,30.9

8,-7.822765,110.121002,31.9,30.9

8,-7.822775,110.121002,32.0,30.9

8,-7.822783,110.121002,32.0,30.8

8,-7.822793,110.120994,32.2,30.9

8,-7.822802,110.120994,31.8,30.8

9,-7.822812,110.120994,32.1,31.0

9,-7.822822,110.120994,31.9,30.9

9,-7.822832,110.120994,32.0,31.0

9,-7.822844,110.120994,32.0,30.8

9,-7.822855,110.120994,31.9,30.9

9,-7.822865,110.120994,31.9,30.9

9,-7.822878,110.120994,31.9,30.8

9,-7.822888,110.120994,33.0,30.9

9,-7.822898,110.120994,32.7,31.0

9,-7.822908,110.120994,32.9,30.9

9,-7.822916,110.120994,32.4,30.8

9,-7.822923,110.120994,32.9,30.9

9,-7.822932,110.120986,32.9,30.9

9,-7.82294,110.120986,32.8,30.8

9,-7.822948,110.120986,33.0,30.9

9,-7.822957,110.120979,32.9,31.0

9,-7.822967,110.120979,33.3,30.9

9,-7.822975,110.120971,33.1,30.8

9,-7.822985,110.120971,33.0,30.9

9,-7.822993,110.120964,32.8,30.9

9,-7.823002,110.120964,33.2,30.9

9,-7.823011,110.120964,32.8,30.8

10,-7.82302,110.120964,32.8,30.8

10,-7.82303,110.120964,32.8,31.0

10,-7.82304,110.120964,32.8,30.9

10,-7.82305,110.120964,32.8,31.0

10,-7.823058,110.120964,33.1,30.9

