Satelit,Latitude,Longitude,Kedalaman,Temperature
11,-7.821943,110.119323,27.6,31.1

11,-7.821935,110.119323,27.8,31.0

11,-7.821927,110.119323,27.6,31.1

11,-7.821918,110.119316,28.1,31.1

11,-7.821908,110.119316,28.2,31.0

12,-7.821898,110.119316,27.8,31.1

12,-7.82189,110.119308,27.0,31.1

11,-7.82188,110.119308,27.0,31.1

12,-7.821872,110.119308,26.9,31.1

12,-7.821862,110.119308,26.9,31.1

12,-7.821852,110.119308,26.9,31.1

12,-7.82184,110.119308,26.9,31.1

12,-7.821832,110.119308,26.9,31.2

12,-7.821822,110.119308,27.0,31.2

12,-7.821812,110.119308,27.1,31.2

12,-7.8218,110.119308,27.0,31.2

12,-7.82179,110.119308,27.5,31.2

12,-7.821782,110.119308,27.1,31.3

12,-7.821774,110.119308,27.2,31.1

